1urvived,P2la11,1ex,Age,1ib1p,Par2h,Fare,Embarked,Title,Family1ize,Mother,2hild,De2k,2abinPo1
0,2,2,6,0,0,12.35,3,12,1,0,0,13.5,13.5
0,1,2,5,2,0,90,3,10,3,0,0,3,1
0,3,2,1,4,1,29.125,3,8,6,0,1,13.5,13.5
0,3,2,1,4,1,29.125,3,8,6,0,1,13.5,13.5
0,3,2,1,4,1,29.125,3,8,6,0,1,13.5,13.5
0,3,2,1,4,1,29.125,3,8,6,0,1,13.5,13.5
1,3,4,15,1,0,15.5,3,6,2,0,0,13.5,13.5
0,3,4,4,1,1,15.5,3,6,3,1,0,13.5,13.5
0,3,4,4,0,5,29.125,3,6,6,1,0,13.5,13.5
1,2,4,15,0,0,12.35,3,4,1,0,0,5,10
1,1,4,4,1,0,90,3,4,2,0,0,3,1
1,3,4,15,0,0,7.8792,3,4,1,0,0,13.5,13.5
1,3,4,15,0,0,7.75,3,4,1,0,0,13.5,13.5
1,3,4,15,0,0,7.75,3,4,1,0,0,13.5,13.5
1,3,4,15,0,0,7.7875,3,4,1,0,0,13.5,13.5
1,3,4,15,1,0,24.15,3,4,2,0,0,13.5,13.5
1,3,4,15,0,0,7.75,3,4,1,0,0,13.5,13.5
1,3,4,15,1,0,15.5,3,4,2,0,0,13.5,13.5
0,3,4,15,0,0,7.75,3,4,1,0,0,13.5,13.5
1,3,4,15,0,0,7.75,3,4,1,0,0,13.5,13.5
1,3,4,15,0,0,7.75,3,4,1,0,0,13.5,13.5
1,3,4,15,2,0,23.25,3,4,3,0,0,13.5,13.5
1,3,4,15,0,0,7.8792,3,4,1,0,0,13.5,13.5
1,3,4,15,0,0,7.8792,3,4,1,0,0,13.5,13.5
1,3,4,15,0,0,7.75,3,4,1,0,0,13.5,13.5
0,3,4,15,0,0,7.6292,3,4,1,0,0,13.5,13.5
1,3,4,15,0,0,7.75,3,4,1,0,0,13.5,13.5
0,3,4,15,0,2,7.75,3,4,3,0,1,13.5,13.5
1,3,4,15,1,0,15.5,3,4,2,0,0,13.5,13.5
1,3,4,15,0,0,7.8292,3,4,1,0,0,13.5,13.5
0,3,4,15,0,0,8.1375,3,4,1,0,0,13.5,13.5
1,3,4,15,0,0,7.7333,3,4,1,0,0,13.5,13.5
1,3,4,15,0,0,7.7375,3,4,1,0,0,13.5,13.5
1,3,4,2,0,0,8.0292,3,4,1,0,0,13.5,13.5
1,3,4,2,0,0,7.7333,3,4,1,0,0,13.5,13.5
1,3,4,2,0,0,7.75,3,4,1,0,0,13.5,13.5
0,3,4,2,0,0,6.75,3,4,1,0,0,13.5,13.5
1,3,4,2,0,0,7.8792,3,4,1,0,0,13.5,13.5
0,3,4,3,0,0,7.75,3,4,1,0,0,13.5,13.5
1,3,4,3,0,0,7.75,3,4,1,0,0,13.5,13.5
1,2,4,4,0,0,12.35,3,4,1,0,0,13.5,13.5
0,3,4,4,0,0,7.75,3,4,1,0,0,13.5,13.5
0,3,2,15,0,0,7.75,3,2,1,0,0,6,5
0,3,2,15,0,0,8.4583,3,2,1,0,0,13.5,13.5
0,3,2,15,1,0,15.5,3,2,2,0,0,13.5,13.5
0,3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
0,3,2,15,1,0,7.75,3,2,2,0,0,13.5,13.5
0,3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
1,3,2,15,2,0,23.25,3,2,3,0,0,13.5,13.5
0,3,2,15,1,0,15.5,3,2,2,0,0,13.5,13.5
0,3,2,15,0,0,7.7292,3,2,1,0,0,13.5,13.5
0,3,2,15,0,0,6.8583,3,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.725,3,2,1,0,0,13.5,13.5
0,3,2,15,0,0,24.15,3,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.8292,3,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.7333,3,2,1,0,0,13.5,13.5
0,3,2,15,0,0,15.5,3,2,1,0,0,13.5,13.5
0,3,2,15,1,0,24.15,3,2,2,0,0,13.5,13.5
0,3,2,15,0,0,7.7375,3,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
0,3,2,15,0,0,6.95,3,2,1,0,0,13.5,13.5
1,3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
0,3,2,2,0,0,6.75,3,2,1,0,0,13.5,13.5
0,3,2,3,0,0,7.7333,3,2,1,0,0,13.5,13.5
0,3,2,3,0,0,7.7417,3,2,1,0,0,13.5,13.5
1,3,2,3,0,0,7.75,3,2,1,0,0,13.5,13.5
0,3,2,4,0,0,7.75,3,2,1,0,0,13.5,13.5
0,3,2,4,0,0,7.75,3,2,1,0,0,13.5,13.5
0,3,2,5,1,1,15.5,3,2,3,0,0,13.5,13.5
0,3,2,5,0,0,7.75,3,2,1,0,0,13.5,13.5
0,3,2,7,0,0,7.75,3,2,1,0,0,13.5,13.5
0,3,2,8,0,0,7.75,3,2,1,0,0,13.5,13.5
1,1,2,5,1,0,56.9292,2,2,2,0,0,1,5
0,1,2,5,0,0,27.7208,2,2,1,0,0,13.5,13.5
1,1,4,3,0,0,69.3,2,11,1,0,0,2,5
1,1,4,3,0,0,49.5042,2,11,1,0,0,3,10
1,1,4,3,0,0,69.3,2,11,1,0,0,2,5
1,1,4,5,1,0,39.6,2,11,2,0,0,1,5
1,1,2,6,0,0,35.5,2,13,1,0,0,1,5
1,1,2,4,0,0,30.5,2,10,1,0,0,2,1
0,1,2,15,0,0,39.6,2,10,1,0,0,13.5,13.5
1,3,2,15,1,1,15.2458,2,8,3,0,1,13.5,13.5
1,3,2,15,1,1,15.2458,2,8,3,0,1,13.5,13.5
1,3,2,0,0,1,8.5167,2,8,2,0,1,13.5,13.5
1,2,2,1,0,2,37.0042,2,8,3,0,1,13.5,13.5
1,3,2,2,1,0,11.2417,2,8,2,0,0,13.5,13.5
1,1,4,15,1,0,89.1042,2,6,2,0,0,3,10
1,1,4,4,1,0,71.2833,2,6,2,0,0,3,10
1,1,4,15,1,0,146.5208,2,6,2,0,0,2,1
1,1,4,4,1,1,110.8833,2,6,3,1,0,3,1
1,1,4,2,1,0,108.9,2,6,2,0,0,3,1
1,1,4,2,1,0,227.525,2,6,2,0,0,3,1
1,1,4,6,0,1,247.5208,2,6,2,1,0,2,1
1,1,4,6,0,1,83.1583,2,6,2,1,0,3,1
1,1,4,2,1,0,91.0792,2,6,2,0,0,2,1
1,1,4,7,1,0,75.25,2,6,2,0,0,4,5
1,1,4,5,1,1,134.5,2,6,3,1,0,5,5
1,1,4,5,1,0,76.7292,2,6,2,0,0,4,5
1,1,4,6,1,0,78.2667,2,6,2,0,0,4,5
1,1,4,5,0,1,57.9792,2,6,2,1,0,2,5
1,2,4,3,0,0,13.7917,2,6,1,0,0,4,13.5
1,3,4,15,0,0,7.225,2,6,1,0,0,13.5,13.5
0,3,4,15,0,2,15.2458,2,6,3,0,1,13.5,13.5
1,1,4,15,0,0,79.2,2,6,1,0,0,13.5,13.5
1,3,4,15,0,0,7.2292,2,6,1,0,0,13.5,13.5
1,1,4,15,1,0,82.1708,2,6,2,0,0,13.5,13.5
1,3,4,15,0,2,22.3583,2,6,3,0,1,13.5,13.5
0,3,4,15,1,0,14.4583,2,6,2,0,0,13.5,13.5
1,2,4,2,1,0,30.0708,2,6,2,0,0,13.5,13.5
1,3,4,2,1,0,14.4542,2,6,2,0,0,13.5,13.5
1,2,4,3,1,2,41.5792,2,6,4,1,0,13.5,13.5
1,3,4,3,0,3,19.2583,2,6,4,1,0,13.5,13.5
1,2,4,3,1,0,24,2,6,2,0,0,13.5,13.5
1,3,4,3,0,2,15.2458,2,6,3,1,0,13.5,13.5
0,3,4,5,0,1,14.4542,2,6,2,1,0,13.5,13.5
1,1,4,6,1,0,59.4,2,6,2,0,0,13.5,13.5
1,1,4,5,0,0,27.7208,2,6,1,0,0,2,5
1,3,4,15,1,1,22.3583,2,4,3,0,1,6,13.5
1,1,4,6,0,0,146.5208,2,4,1,0,0,2,1
1,1,4,2,2,2,262.375,2,4,5,0,1,2,1
1,1,4,3,2,2,262.375,2,4,5,0,0,2,1
1,1,4,3,0,0,83.1583,2,4,1,0,0,3,1
1,1,4,4,1,1,83.1583,2,4,3,0,0,5,1
0,1,4,6,0,0,28.7125,2,4,1,0,0,3,1
1,1,4,4,0,0,227.525,2,4,1,0,0,3,1
1,1,4,5,0,0,134.5,2,4,1,0,0,5,1
1,1,4,3,0,2,49.5,2,4,3,0,0,2,5
1,1,4,4,0,0,56.9292,2,4,1,0,0,5,5
1,1,4,3,1,0,113.275,2,4,2,0,0,4,5
1,1,4,4,1,0,113.275,2,4,2,0,0,4,5
1,1,4,4,0,0,135.6333,2,4,1,0,0,3,5
1,1,4,6,1,0,78.2667,2,4,2,0,0,4,5
1,1,4,2,0,1,57.9792,2,4,2,0,1,2,5
1,1,4,4,0,0,76.2917,2,4,1,0,0,4,5
0,3,4,15,1,0,14.4542,2,4,2,0,0,13.5,13.5
1,1,4,15,0,0,110.8833,2,4,1,0,0,13.5,13.5
1,3,4,0,2,1,19.2583,2,4,4,0,1,13.5,13.5
1,3,4,0,2,1,19.2583,2,4,4,0,1,13.5,13.5
1,3,4,1,0,2,15.7417,2,4,3,0,1,13.5,13.5
1,2,4,1,1,2,41.5792,2,4,4,0,1,13.5,13.5
1,3,4,1,0,1,13.4167,2,4,2,0,1,13.5,13.5
1,3,4,1,2,1,19.2583,2,4,4,0,1,13.5,13.5
0,3,4,1,1,1,15.2458,2,4,3,0,1,13.5,13.5
1,3,4,2,0,0,7.2292,2,4,1,0,0,13.5,13.5
1,3,4,2,1,0,11.2417,2,4,2,0,0,13.5,13.5
0,3,4,2,1,0,14.4542,2,4,2,0,0,13.5,13.5
1,3,4,2,0,0,7.225,2,4,1,0,0,13.5,13.5
0,3,4,2,0,0,14.4583,2,4,1,0,0,13.5,13.5
1,2,4,2,0,0,12,2,4,1,0,0,13.5,13.5
0,3,4,2,0,1,14.4542,2,4,2,0,1,13.5,13.5
1,2,4,3,1,0,13.8583,2,4,2,0,0,13.5,13.5
1,1,4,4,0,0,106.425,2,4,1,0,0,13.5,13.5
1,1,4,4,0,0,31,2,4,1,0,0,13.5,13.5
1,1,4,4,0,0,512.3292,2,4,1,0,0,13.5,13.5
1,1,4,5,0,0,227.525,2,4,1,0,0,13.5,13.5
1,1,2,3,0,0,30,2,2,1,0,0,3,10
0,1,2,4,0,1,29.7,2,2,2,0,0,3,10
0,1,2,4,0,0,27.75,2,2,1,0,0,3,10
1,1,2,4,0,0,512.3292,2,2,1,0,0,2,10
1,1,2,5,1,0,89.1042,2,2,2,0,0,3,10
0,1,2,6,1,0,106.425,2,2,2,0,0,3,10
0,1,2,3,0,0,79.2,2,2,1,0,0,2,10
0,1,2,3,0,2,211.5,2,2,3,0,0,3,10
0,1,2,5,0,0,79.2,2,2,1,0,0,2,10
1,1,2,2,0,2,110.8833,2,2,3,0,1,3,1
0,1,2,5,1,1,110.8833,2,2,3,0,0,3,1
0,1,2,2,1,0,108.9,2,2,2,0,0,3,1
0,1,2,3,0,1,247.5208,2,2,2,0,0,2,1
1,1,2,4,0,1,512.3292,2,2,2,0,0,2,1
1,1,2,3,1,0,55.4417,2,2,2,0,0,5,1
1,1,2,3,0,0,76.7292,2,2,1,0,0,4,1
1,1,2,3,1,0,91.0792,2,2,2,0,0,2,1
0,1,2,6,0,2,113.275,2,2,3,0,0,4,1
1,1,2,15,0,0,29.7,2,2,1,0,0,3,1
1,1,2,7,1,1,79.2,2,2,3,0,0,2,1
0,1,2,6,0,0,29.7,2,2,1,0,0,2,5
1,1,2,5,1,0,76.7292,2,2,2,0,0,4,5
1,1,2,5,0,0,31,2,2,1,0,0,1,5
0,1,2,7,0,1,61.9792,2,2,2,0,0,2,5
0,2,2,4,0,0,12.875,2,2,1,0,0,4,13.5
0,3,2,15,0,0,7.225,2,2,1,0,0,13.5,13.5
1,3,2,15,0,0,7.2292,2,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.8958,2,2,1,0,0,13.5,13.5
0,3,2,15,2,0,21.6792,2,2,3,0,0,13.5,13.5
0,1,2,15,0,0,27.7208,2,2,1,0,0,13.5,13.5
0,2,2,15,0,0,15.05,2,2,1,0,0,13.5,13.5
0,1,2,15,0,0,27.7208,2,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.225,2,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.8958,2,2,1,0,0,13.5,13.5
0,3,2,15,0,0,14.4583,2,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.225,2,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.2292,2,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.2292,2,2,1,0,0,13.5,13.5
1,2,2,15,0,0,13.8625,2,2,1,0,0,13.5,13.5
0,1,2,15,0,0,227.525,2,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.2292,2,2,1,0,0,13.5,13.5
0,3,2,15,0,0,8.7125,2,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.225,2,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.225,2,2,1,0,0,13.5,13.5
0,1,2,15,0,0,30.6958,2,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.2292,2,2,1,0,0,13.5,13.5
0,3,2,15,0,0,7.2292,2,2,1,0,0,13.5,13.5
0,3,2,2,0,0,18.7875,2,2,1,0,0,13.5,13.5
0,3,2,2,1,1,7.2292,2,2,3,0,1,13.5,13.5
0,3,2,2,1,1,7.2292,2,2,3,0,1,13.5,13.5
0,3,2,3,0,0,4.0125,2,2,1,0,0,13.5,13.5
1,3,2,3,1,1,15.7417,2,2,3,0,0,13.5,13.5
1,3,2,3,0,0,7.2292,2,2,1,0,0,13.5,13.5
0,3,2,3,0,0,7.2292,2,2,1,0,0,13.5,13.5
0,1,2,3,0,0,135.6333,2,2,1,0,0,13.5,13.5
