S15rvived,Age,Fare
1,0,8.5167
1,0,14.5
1,0,19.2583
1,0,19.2583
1,0,29
1,0,18.75
1,0,151.55
0,1,39.6875
1,1,11.1333
1,1,39
1,1,15.7417
0,1,46.9
1,1,20.575
1,1,37.0042
0,1,21.075
0,1,29.125
0,1,31.275
0,1,10.4625
0,1,151.55
1,1,26
1,1,12.2875
1,1,26
0,1,27.9
0,1,39.6875
1,1,41.5792
1,1,26
1,1,31.3875
1,1,15.9
0,1,21.075
1,1,18.75
1,1,16.7
0,1,27.9
0,1,29.125
1,1,22.025
1,1,81.8583
1,1,39
1,1,13.4167
1,1,23
0,1,31.275
1,1,11.1333
1,1,27.75
1,1,31.3875
1,1,19.2583
1,1,12.475
1,1,33
1,1,12.475
0,1,31.275
0,1,39.6875
0,1,29.125
1,1,26.25
0,1,21.075
1,1,26.25
1,1,36.75
0,1,29.125
0,1,34.375
1,1,20.525
0,1,31.3875
0,1,46.9
1,1,15.9
0,1,31.275
0,1,27.9
0,1,15.2458
0,2,24.15
0,2,27.9
0,2,46.9
0,2,31.275
0,2,18.7875
1,2,120
1,2,11.2417
1,2,19.5
1,2,7.2292
1,2,30.0708
0,2,7.8542
1,2,11.2417
1,2,120
0,2,46.9
0,2,39.6875
0,2,14.4542
1,2,8.0292
0,2,7.2292
1,2,211.3375
1,2,14.4542
1,2,7.225
0,2,46.9
0,2,34.375
0,2,9.2167
1,2,7.7333
1,2,7.75
1,2,8.05
0,2,39.6875
0,2,9.5
1,2,57.9792
0,2,18
1,2,86.5
0,2,8.05
0,2,20.25
0,2,7.775
0,2,26
0,2,10.5
1,2,39.4
1,2,7.925
1,2,10.5
0,2,14.4583
0,2,8.6625
1,2,108.9
1,2,12
0,2,7.125
0,2,8.6625
0,2,7.2292
1,2,110.8833
0,2,7.0542
1,2,57
0,2,8.6625
0,2,18
0,2,17.8
0,2,11.5
0,2,7.8542
1,2,8.05
0,2,13
1,2,262.375
0,2,6.4958
0,2,73.5
1,2,13
0,2,20.2125
0,2,108.9
1,2,79.65
1,2,23
0,2,6.75
0,2,7.775
1,2,9.8417
0,2,7.7958
1,2,227.525
0,2,14.4542
0,2,11.5
0,2,7.75
1,2,7.4958
0,2,7.775
0,2,8.3
1,2,9.35
0,2,263
1,2,7.8792
0,2,8.1583
1,2,26.2833
0,2,6.75
0,2,36.75
0,2,13
1,2,7.8542
1,2,10.5
0,2,10.5
1,2,8.05
1,2,91.0792
0,2,0
0,2,8.05
0,2,7.775
1,2,26
1,2,26
0,2,7.8958
0,2,14.5
0,2,7.8958
0,2,10.1708
0,2,7.65
0,2,53.1
0,2,7.8958
1,2,30
0,3,8.05
0,3,7.8542
0,3,9.825
0,3,7.05
0,3,4.0125
0,3,8.6625
0,3,9.5
1,3,15.7417
0,3,7.8542
1,3,7.925
0,3,9.225
0,3,8.6625
1,3,7.2292
0,3,7.925
0,3,9.8458
0,3,7.25
0,3,8.05
0,3,7.8
1,3,10.5
0,3,73.5
0,3,77.2875
1,3,7.65
0,3,7.925
0,3,73.5
0,3,7.925
1,3,7.7958
0,3,9.825
0,3,7.775
0,3,7.7333
0,3,34.375
0,3,7.25
0,3,8.05
0,3,7.75
0,3,7.8542
0,3,16.1
1,3,77.9583
0,3,8.4333
1,3,262.375
0,3,8.6625
0,3,11.5
0,3,7.25
0,3,7.2292
0,3,9
0,3,8.05
1,3,7.75
1,3,66.6
0,3,7.25
0,3,9.35
0,3,7.125
0,3,7.8958
1,3,7.75
0,3,7.25
1,3,29
1,3,55
0,3,135.6333
1,3,7.25
0,3,7.7958
0,3,9.8375
0,3,7.5208
0,3,7.8958
1,3,49.5
1,3,7.225
1,3,7.775
0,3,8.05
1,3,41.5792
1,3,151.55
0,3,10.5167
1,3,263
1,3,63.3583
0,3,15.0458
0,3,9.225
1,3,113.275
0,3,10.5
1,3,13.7917
0,3,11.5
1,3,7.55
0,3,13
0,3,13
0,3,13
0,3,7.8958
0,3,7.925
0,3,7.8542
0,3,7.2292
0,3,8.05
0,3,247.5208
1,3,7.1417
0,3,79.2
1,3,15.85
0,3,13
0,3,7.05
0,3,10.5
1,3,14.5
0,3,8.85
0,3,7.8958
1,3,83.1583
1,3,26
1,3,263
1,3,13
1,3,69.3
1,3,16.7
1,3,18.75
0,3,7.7958
0,3,7.4958
0,3,24.15
1,3,27
1,3,65
1,3,69.3
0,3,73.5
1,3,49.5042
0,3,16.1
0,3,9.5
1,3,19.2583
0,3,13
0,3,8.05
0,3,7.65
0,3,13
0,3,7.775
1,3,7.775
1,3,0
0,3,13
0,3,17.8
1,3,55.4417
0,3,7.775
1,3,91.0792
0,3,151.55
1,3,30
0,3,13
0,3,41.5792
0,3,7.225
0,3,7.7417
0,3,26
0,3,7.925
0,3,7.05
0,3,7.25
0,3,7.8958
1,3,26
0,3,7.05
1,3,7.925
0,3,8.6625
0,3,14.4542
0,3,20.575
0,3,7.775
1,3,18.7875
1,3,78.85
0,3,26
1,3,7.8542
0,3,8.05
1,3,56.4958
0,3,16.1
0,3,10.5
0,3,7.8958
0,3,7.8542
0,3,7.8875
0,3,7.8958
1,3,30
1,3,11.1333
0,3,21
1,3,7.7958
1,3,7.925
0,3,13
0,3,7.8958
0,3,211.5
0,3,26
1,3,30.5
0,3,14.4542
1,3,76.7292
1,3,10.5
1,3,53.1
1,3,6.975
1,3,8.6625
1,3,12.475
1,3,13.8583
0,3,13
1,3,35.5
0,3,82.1708
0,3,47.1
0,3,7.8958
0,3,7.8958
0,3,56.4958
0,3,9.5
0,3,7.8542
0,3,7.8958
0,3,13
0,3,9.5
0,3,7.925
1,3,12.65
0,3,15.85
0,3,14.4
1,3,26
1,3,26.55
1,3,13
0,3,22.525
0,3,13.5
1,3,13
0,3,7.7958
0,3,33
1,3,24
0,3,10.5
0,3,7.2292
0,3,16.1
1,3,26
1,3,10.5
1,3,9.5
0,3,8.05
0,3,21
1,3,26
0,3,7.775
0,3,10.5
0,3,10.4625
1,3,15.2458
0,3,66.6
0,3,27.7208
0,3,7.875
1,3,7.8958
0,3,7.0458
1,3,7.75
0,3,21.075
0,3,9.4833
1,3,211.3375
0,3,30
1,4,12.475
0,4,8.05
0,4,13
0,4,13
0,4,10.5
0,4,7.225
0,4,16.1
1,4,86.5
1,4,9.5
0,4,24
1,4,56.9292
1,4,12.35
0,4,7.25
0,4,13
0,4,27.75
0,4,8.05
1,4,93.5
0,4,8.6625
1,4,106.425
0,4,7.8958
1,4,21
1,4,13
0,4,7.2292
0,4,24.15
1,4,31
0,4,7.75
0,4,8.05
0,4,18
1,4,113.275
1,4,164.8667
1,4,20.525
0,4,7.8542
0,4,10.5
0,4,26.25
0,4,52
1,4,13
1,4,57
1,4,7.925
0,4,7.75
1,4,8.6833
1,4,26.25
0,4,7.775
0,4,37.0042
0,4,50.4958
0,4,10.5
1,4,56.4958
1,4,13
0,4,15.85
1,4,76.2917
0,4,7.925
1,4,8.05
0,4,7.8958
1,4,26
1,4,7.8542
1,4,7.925
1,4,30.5
0,4,7.925
0,4,15.5
0,4,73.5
0,4,8.3625
1,4,56.4958
0,4,7.75
0,4,30.0708
1,4,13
1,4,15.85
0,4,8.6542
0,4,7.8958
0,4,12.275
0,4,8.6625
1,4,90
1,4,27.75
1,4,26
0,4,20.525
0,4,7.775
0,4,9.5
1,4,86.5
1,4,53.1
0,4,5
0,4,7.8958
1,4,13
1,4,23
0,4,26
0,4,6.4958
0,4,21
1,4,32.5
1,4,26.55
0,4,8.05
0,4,21
1,4,10.5
1,4,13
0,4,14.4
0,4,13
0,4,8.05
0,4,13
0,4,6.4375
1,4,53.1
0,4,8.05
0,4,26
1,4,21
1,4,83.475
1,4,512.3292
1,4,135.6333
1,4,20.25
0,4,7.05
1,4,52
1,4,90
0,4,7.125
1,4,26.55
0,4,8.05
1,4,26.2875
1,4,512.3292
0,4,10.5
0,4,7.8958
0,4,0
0,4,7.8958
0,4,10.5
0,4,12.875
1,4,135.6333
1,4,13
0,4,13
1,4,13
1,4,120
0,4,27.75
1,4,26.2875
1,4,26
1,4,71
1,4,17.4
1,4,26.3875
0,4,40.125
0,4,24.15
0,4,15.55
0,4,7.4958
1,4,512.3292
0,4,78.85
1,4,120
0,4,26
0,4,7.925
0,4,53.1
1,4,52.5542
0,4,29.7
0,4,9.5875
0,4,26
1,4,71.2833
1,4,31.3875
1,4,80
0,4,7.8958
1,4,90
0,4,153.4625
0,4,13
0,4,7.05
0,4,8.6625
1,4,227.525
0,4,0
0,4,31.275
1,4,7.925
0,4,7.925
1,4,79.65
1,4,55.9
1,4,110.8833
0,4,31.275
0,4,26
0,4,13
0,4,0
0,4,13
0,4,24.15
1,4,83.1583
0,4,29.125
0,5,27.7208
0,5,9.475
1,5,15.75
0,5,15.5
1,5,31
0,5,0
1,5,134.5
1,5,13
0,5,27.9
0,5,7.8958
1,5,153.4625
0,5,7.225
1,5,39
0,5,14.5
0,5,7.75
0,5,20.2125
1,5,19.5
1,5,134.5
0,5,39.6875
0,5,7.125
0,5,14.1083
0,5,52
0,5,13
0,5,8.4042
0,5,27
1,5,13
0,5,8.6625
1,5,227.525
1,5,26
1,5,52.5542
0,5,7.65
1,5,26.2875
0,5,7.55
1,5,13
0,5,26.25
0,5,8.05
0,5,46.9
1,5,211.3375
0,5,6.45
0,5,16.1
1,5,27.7208
0,5,26
0,5,90
1,5,7.925
1,5,57.9792
0,5,8.05
0,5,8.05
0,5,26
0,5,83.475
0,5,6.975
0,5,27.9
1,5,26.55
0,5,7.75
1,5,8.05
0,5,35.5
0,5,14.4542
1,5,26.25
0,5,26.55
1,5,13.5
1,5,164.8667
0,5,7.225
0,5,28.5
0,5,61.175
0,5,26
0,5,79.2
0,5,52
0,5,14.5
0,5,38.5
0,5,34.0208
0,5,15
0,5,7.25
0,5,25.5875
1,5,52.5542
0,5,9
1,5,26.55
0,5,13
1,5,39.6
1,5,76.7292
1,5,52
0,5,34.375
1,5,65
0,5,7.8542
1,5,25.9292
1,5,76.7292
1,5,89.1042
0,5,0
1,5,56.9292
0,5,110.8833
1,5,25.9292
0,6,28.7125
1,6,26
1,6,247.5208
0,6,55.9
1,6,10.5
0,6,8.05
1,6,10.5
0,6,106.425
1,6,133.65
0,6,13
0,6,12.525
0,6,61.3792
0,6,8.05
0,6,7.75
0,6,7.0542
1,6,77.9583
1,6,26.55
0,6,79.65
1,6,30.5
1,6,78.2667
0,6,13.5
0,6,13
1,6,93.5
1,6,51.4792
0,6,51.8625
0,6,77.2875
0,6,26
0,6,14
1,6,78.2667
1,6,59.4
0,6,26
1,6,23
1,6,16
0,6,30.5
0,6,8.05
0,6,30.6958
0,6,26.55
1,6,35.5
1,6,83.1583
0,6,12.35
0,6,10.5
1,6,26.55
1,6,146.5208
1,6,153.4625
0,6,29.7
0,6,113.275
0,6,7.25
0,6,13.5
1,7,75.25
1,7,79.2
0,7,39
0,7,26.55
0,7,33.5
0,7,6.2375
0,7,32.3208
0,7,26.55
0,7,26.55
1,7,10.5
1,7,80
1,7,77.9583
1,7,9.5875
0,7,263
0,7,26
0,7,61.9792
0,7,7.75
0,7,26.55
0,7,10.5
0,8,10.5
0,8,71
0,8,7.75
0,8,34.6542
0,8,49.5042
0,8,7.775
1,9,30
1,15,7.225
0,15,7.225
1,15,7.8792
0,15,7.8958
1,15,146.5208
1,15,7.75
1,15,7.2292
0,15,7.8958
0,15,8.05
0,15,15.5
1,15,7.75
0,15,21.6792
1,15,35.5
0,15,27.7208
1,15,15.2458
0,15,7.8958
0,15,8.05
1,15,7.7875
0,15,8.05
0,15,8.05
0,15,7.8958
1,15,7.775
1,15,24.15
0,15,8.05
0,15,7.75
1,15,22.3583
0,15,15.2458
0,15,7.3125
0,15,8.6625
0,15,69.55
1,15,55
0,15,25.925
0,15,25.4667
0,15,69.55
0,15,15.05
0,15,50
1,15,15.5
0,15,7.75
1,15,7.75
0,15,69.55
0,15,7.75
0,15,7.8958
0,15,25.4667
0,15,7.55
0,15,14.4542
1,15,15.5
0,15,7.25
1,15,79.2
0,15,7.75
0,15,7.75
0,15,31
1,15,7.75
0,15,0
0,15,26
0,15,27.7208
1,15,30.5
1,15,7.75
1,15,23.25
1,15,12.35
0,15,8.05
1,15,110.8833
0,15,69.55
1,15,23.25
1,15,133.65
0,15,7.8958
1,15,16.1
0,15,35
0,15,7.225
1,15,7.8792
1,15,7.8792
0,15,15.5
1,15,7.2292
1,15,7.75
1,15,82.1708
0,15,7.8958
0,15,7.7292
0,15,25.4667
0,15,7.8958
0,15,6.8583
0,15,0
0,15,8.05
0,15,7.8958
0,15,7.25
0,15,7.75
1,15,16.1
1,15,8.1125
0,15,19.9667
0,15,8.05
1,15,51.8625
0,15,7.75
0,15,8.05
0,15,0
0,15,7.725
0,15,7.25
0,15,52
0,15,0
0,15,25.4667
0,15,19.9667
0,15,14.4583
0,15,15.1
