Age,Fare
8,78.85
7,221.7792
7,83.1583
7,75.25
7,26.55
7,26
7,221.7792
7,9.6875
7,262.375
7,12.35
7,
7,76.2917
7,263
7,26
6,51.4792
6,512.3292
6,164.8667
6,146.5208
6,13
6,59.4
6,25.7
6,27.7208
6,93.5
6,135.6333
6,50
6,55.4417
6,81.8583
6,28.5
6,27.4458
6,81.8583
6,39.4
6,14.5
6,26
6,211.5
6,26
6,211.5
5,26
5,65
5,0
5,262.375
5,50.4958
5,106.425
5,36.75
5,79.2
5,7
5,61.175
5,42.4
5,227.525
5,10.5
5,26
5,75.2417
5,79.2
5,7.225
5,52.5542
5,29.7
5,30
5,134.5
5,14.1083
5,63.3583
5,59.4
5,262.375
5,13
5,55.4417
5,7.8958
5,21
5,27.7208
5,13
5,26.55
5,26.55
5,42.5
5,32.5
5,30.5
5,7.85
5,15.0458
5,13
5,51.8625
5,15.1
4,46.9
4,31.3875
4,16
4,13
4,26
4,13.4167
4,71.2833
4,211.3375
4,29.7
4,7.2292
4,108.9
4,7.25
4,7.775
4,7.2292
4,21
4,83.1583
4,7.75
4,90
4,17.4
4,15.9
4,262.375
4,31.6792
4,75.2417
4,12.1833
4,39
4,13
4,7.25
4,9.5
4,12.35
4,7.8958
4,211.5
4,57.75
4,7.75
4,7.8292
4,26
4,20.575
4,8.05
4,151.55
4,7.8542
4,27.7208
4,26.55
4,211.5
4,9.5
4,13.5
4,8.05
4,22.525
4,7.775
4,13
4,7.5792
4,28.5375
4,18
4,21
4,21
4,134.5
4,7.7333
3,7.6292
3,57.75
3,13
3,13
3,26
3,13
3,13.8583
3,12.7375
3,21
3,6.95
3,45.5
3,151.55
3,26
3,15.55
3,164.8667
3,7.925
3,7.925
3,26
3,221.7792
3,26
3,23
3,7.8542
3,26
3,13.8583
3,22.025
3,27.7208
3,263
3,22.525
3,7.25
3,26
3,8.05
3,10.5
3,7.775
3,8.6625
3,7.925
3,15.0333
3,7.8792
3,52
3,26
3,7.225
3,247.5208
3,136.7792
3,7.8542
3,7.8958
3,8.6625
3,7.225
3,29
3,7.775
3,13
3,13.775
3,13.5
3,22.025
3,136.7792
3,7.8958
3,7.775
3,13
3,13
3,7.8792
3,9.5
3,7.925
3,7.65
3,26
3,7.7958
3,10.5
3,7.8958
3,7.2292
3,31.5
3,10.5
3,55.4417
3,27.7208
3,31.5
3,60
3,7.75
3,7.75
3,8.05
3,7.8542
3,7.55
3,10.5
3,9.325
3,82.2667
3,8.6625
3,13.5
3,37.0042
3,65
3,7.775
3,7.25
3,82.2667
3,8.05
3,83.1583
3,7.8542
3,13.9
3,10.5
3,7.7958
3,8.6625
3,7.05
3,93.5
3,10.5
3,7.225
3,12.2875
3,61.9792
3,7.725
3,13.9
3,7.7958
3,8.05
3,8.9625
3,10.5
3,21
3,10.5
3,7.225
3,31.5
3,39.6875
3,8.6625
3,7.775
3,59.4
3,24.15
3,7.225
3,61.3792
3,8.6625
3,7.8958
3,7.8208
3,21
3,8.05
3,7.7958
3,26.55
3,6.4958
3,7.775
3,7.8542
3,13
3,11.5
3,11.5
3,7.75
2,23
2,7.8542
2,36.75
2,7.8542
2,7.225
2,7.925
2,26
2,13.8625
2,13
2,10.5
2,15.7417
2,16.1
2,7.2292
2,13
2,7.2833
2,7.2292
2,7.75
2,7.8792
2,8.05
2,14.4542
2,34.375
2,53.1
2,7.775
2,13
2,8.6625
2,10.5
2,73.5
2,60
2,7.8958
2,16.1
2,8.05
2,73.5
2,8.6625
2,7.7333
2,47.1
2,8.5167
2,7.65
2,39
2,69.55
2,9.225
2,65
2,262.375
2,31.3875
2,20.25
2,15.75
2,39
2,14.5
1,29.125
,46.9
1,3.1708
1,15.2458
1,32.5
1,26
1,15.2458
1,15.2458
1,134.5
1,21.075
1,31.3875
1,13.775
1,23
1,20.2125
1,16.7
1,12.1833
1,41.5792
0,27.75
0,9.35
0,13.775
0,14.4
0,20.575
15,7.8958
15,31.6833
15,21.6792
15,23.45
15,8.05
15,56.4958
15,26.55
15,7.75
15,15.5792
15,16.1
15,21
15,8.05
15,7.8958
15,10.7083
15,14.4542
15,7.75
15,7.775
15,8.05
15,7.75
15,7.75
15,8.7125
15,7.7792
15,6.4375
15,7.75
15,7.75
15,23.25
15,25.4667
15,6.4375
15,51.8625
15,26.55
15,7.8958
15,7.7333
15,7
15,27.7208
15,7.55
15,7.2292
15,7.75
15,69.55
15,26
15,8.1125
15,15.5
15,25.7417
15,7.05
15,7.8792
15,8.05
15,15.2458
15,7.75
15,7.8792
15,7.8875
15,23.45
15,14.4542
15,7.55
15,7.75
15,7.8958
15,0
15,7.55
15,8.05
15,7.75
15,15.5
15,7.225
15,7.75
15,7.25
15,7.2292
15,8.05
15,39.6
15,7.2292
15,21.6792
15,15.0458
15,7.75
15,7.575
15,7.225
15,7.2292
15,69.55
15,14.5
15,7.8792
15,7.75
15,69.55
15,14.4583
15,7.75
15,14.5
15,12.875
15,7.7208
15,7.75
15,8.05
15,8.05
15,22.3583
