P2la11,1ex,Age,1ib1p,Par2h,Fare,Embarked,Title,Family1ize,Mother,2hild,De2k,2abinPo1
3,2,4,0,0,7.85,1,2,1,0,0,13.5,13.5
3,2,15,0,0,7.05,1,2,1,0,0,13.5,13.5
2,2,6,0,0,9.6875,3,2,1,0,0,13.5,13.5
3,2,2,0,0,8.6625,1,2,1,0,0,13.5,13.5
3,4,2,1,1,12.2875,1,6,3,1,0,13.5,13.5
3,2,1,0,0,9.225,1,2,1,0,0,13.5,13.5
3,2,2,0,0,7.65,1,2,1,0,0,6,13.5
2,2,2,1,1,29,1,2,3,0,0,13.5,13.5
3,2,15,0,0,7.25,1,2,1,0,0,13.5,13.5
3,2,2,2,0,24.15,1,2,3,0,0,13.5,13.5
3,2,15,0,0,7.8958,1,2,1,0,0,13.5,13.5
2,2,3,1,0,26,1,2,2,0,0,13.5,13.5
1,4,2,1,0,82.2667,1,6,2,0,0,2,1
2,2,6,1,0,26,1,2,2,0,0,13.5,13.5
1,4,4,1,0,61.175,1,6,2,0,0,5,5
2,4,2,1,0,27.7208,2,6,2,0,0,13.5,13.5
2,2,3,0,0,12.35,3,2,1,0,0,13.5,13.5
3,4,4,0,0,7.225,2,6,1,0,0,13.5,13.5
3,2,2,0,0,7.925,1,2,1,0,0,13.5,13.5
3,2,2,0,0,7.225,2,2,1,0,0,13.5,13.5
1,2,5,1,0,59.4,2,2,2,0,0,13.5,13.5
3,2,15,1,0,6.4375,2,2,2,0,0,13.5,13.5
1,4,15,0,0,31.6833,1,6,1,0,0,13.5,13.5
1,2,2,0,1,61.3792,2,2,2,0,0,13.5,13.5
1,4,4,0,0,262.375,2,4,1,0,0,13.5,13.5
3,2,15,1,1,14.5,1,8,3,0,1,13.5,13.5
1,4,2,0,1,61.9792,2,4,2,0,0,2,5
3,2,2,0,0,7.225,2,2,1,0,0,13.5,13.5
1,2,4,0,0,30.5,1,2,1,0,0,1,5
3,2,15,2,0,21.6792,2,2,3,0,0,13.5,13.5
1,2,4,0,0,26,1,2,1,0,0,13.5,13.5
2,2,2,2,0,31.5,1,2,3,0,0,13.5,13.5
3,4,0,1,2,20.575,1,4,4,0,1,13.5,13.5
3,2,15,1,2,23.45,1,8,4,0,1,13.5,13.5
1,4,3,1,0,57.75,2,6,2,0,0,3,5
3,2,15,0,0,7.2292,2,8,1,0,0,13.5,13.5
3,2,3,0,0,8.05,1,2,1,0,0,13.5,13.5
3,4,2,0,0,8.6625,1,4,1,0,0,13.5,13.5
3,2,2,0,0,9.5,1,2,1,0,0,13.5,13.5
3,2,15,0,0,56.4958,1,2,1,0,0,13.5,13.5
3,2,3,0,1,13.4167,2,2,2,0,0,13.5,13.5
1,2,4,0,0,26.55,1,2,1,0,0,13.5,13.5
3,2,3,0,0,7.8542,1,2,1,0,0,13.5,13.5
2,2,2,0,0,13,1,2,1,0,0,13.5,13.5
1,4,4,1,0,52.5542,1,6,2,0,0,4,5
3,4,2,0,0,7.925,1,4,1,0,0,13.5,13.5
1,2,4,0,0,29.7,2,2,1,0,0,1,5
3,4,15,0,0,7.75,3,4,1,0,0,13.5,13.5
1,4,6,0,0,76.2917,2,6,1,0,0,4,5
3,4,3,0,2,15.9,1,6,3,1,0,13.5,13.5
1,2,2,1,0,60,1,2,2,0,0,3,5
2,2,2,0,0,15.0333,2,2,1,0,0,13.5,13.5
2,4,2,0,2,23,1,6,3,1,0,13.5,13.5
1,4,6,1,4,263,1,6,6,1,0,3,5
2,2,15,0,0,15.5792,2,2,1,0,0,13.5,13.5
3,2,1,4,1,29.125,3,8,6,0,1,13.5,13.5
3,2,3,0,0,7.8958,1,2,1,0,0,13.5,13.5
3,4,1,0,0,7.65,1,4,1,0,0,13.5,13.5
3,2,15,1,0,16.1,1,2,2,0,0,13.5,13.5
1,4,4,1,3,262.375,2,6,5,1,0,2,1
3,2,1,0,0,7.8958,1,2,1,0,0,13.5,13.5
2,2,3,0,0,13.5,1,2,1,0,0,13.5,13.5
3,2,15,0,0,7.775,1,2,1,0,0,13.5,13.5
3,2,3,0,0,7.7333,3,2,1,0,0,13.5,13.5
1,2,1,2,2,262.375,2,8,5,0,1,2,1
2,2,4,0,1,21,1,2,2,0,0,13.5,13.5
3,4,1,0,0,7.8792,3,4,1,0,0,13.5,13.5
1,2,4,0,0,42.4,1,2,1,0,0,13.5,13.5
1,2,3,0,0,28.5375,2,2,1,0,0,3,1
1,4,2,3,2,263,1,4,6,0,0,3,5
3,4,2,0,0,7.75,3,4,1,0,0,13.5,13.5
3,2,2,0,0,7.8958,1,2,1,0,0,13.5,13.5
3,2,2,0,0,7.925,1,2,1,0,0,13.5,13.5
1,4,5,0,0,27.7208,2,6,1,0,0,13.5,13.5
1,4,3,0,0,211.5,2,4,1,0,0,3,10
1,4,5,1,1,211.5,2,6,3,1,0,3,1
3,2,3,0,0,8.05,1,2,1,0,0,13.5,13.5
1,4,5,2,0,25.7,1,6,3,0,0,3,10
2,2,3,0,0,13,1,2,1,0,0,13.5,13.5
3,4,3,0,0,7.75,3,4,1,0,0,13.5,13.5
3,2,1,1,1,15.2458,2,8,3,0,1,13.5,13.5
1,2,6,1,0,221.7792,1,2,2,0,0,3,1
2,2,4,1,0,26,1,2,2,0,0,13.5,13.5
3,2,15,0,0,7.8958,1,2,1,0,0,13.5,13.5
2,2,15,0,0,10.7083,3,2,1,0,0,13.5,13.5
3,2,1,1,0,14.4542,2,2,2,0,0,13.5,13.5
3,4,15,0,0,7.8792,3,4,1,0,0,13.5,13.5
3,4,2,0,0,8.05,1,4,1,0,0,13.5,13.5
3,4,15,0,0,7.75,3,4,1,0,0,13.5,13.5
2,2,1,1,1,23,1,8,3,0,1,13.5,13.5
3,4,2,1,0,13.9,1,6,2,0,0,13.5,13.5
3,2,3,0,0,7.775,1,2,1,0,0,13.5,13.5
1,4,2,1,2,52,1,6,4,1,0,2,1
3,2,15,0,0,8.05,1,2,1,0,0,13.5,13.5
2,4,2,1,0,26,1,6,2,0,0,13.5,13.5
3,2,2,0,0,7.7958,1,2,1,0,0,13.5,13.5
1,4,7,1,0,78.85,1,6,2,0,0,3,1
3,2,2,0,0,7.925,1,2,1,0,0,13.5,13.5
3,2,15,0,0,7.8792,1,2,1,0,0,13.5,13.5
3,2,2,0,0,8.05,1,2,1,0,0,13.5,13.5
1,4,2,1,0,55.4417,2,6,2,0,0,5,1
2,4,6,1,0,26,1,6,2,0,0,13.5,13.5
3,4,15,0,0,7.75,3,4,1,0,0,13.5,13.5
3,2,2,0,0,7.775,1,2,1,0,0,13.5,13.5
3,4,1,1,1,8.5167,2,6,3,0,1,13.5,13.5
3,2,2,0,0,22.525,1,2,1,0,0,13.5,13.5
3,2,3,0,0,7.8292,3,2,1,0,0,13.5,13.5
3,4,15,0,0,7.75,3,4,1,0,0,13.5,13.5
3,2,15,0,0,8.7125,1,2,1,0,0,13.5,13.5
2,4,3,0,0,13,1,6,1,0,0,13.5,13.5
2,2,15,0,0,15.0458,2,2,1,0,0,4,13.5
3,2,2,0,0,7.7958,1,2,1,0,0,13.5,13.5
1,4,3,0,0,31.6792,2,4,1,0,0,1,5
3,2,15,0,0,7.55,1,2,1,0,0,13.5,13.5
1,4,2,0,0,221.7792,1,4,1,0,0,3,10
3,4,15,1,0,14.4542,2,6,2,0,0,13.5,13.5
3,2,2,1,0,6.4958,1,2,2,0,0,13.5,13.5
3,4,1,1,1,16.7,1,4,3,0,1,7,5
1,2,3,0,0,75.2417,2,2,1,0,0,3,5
2,4,2,1,0,26,1,4,2,0,0,13.5,13.5
2,4,1,0,0,15.75,1,4,1,0,0,13.5,13.5
3,2,1,0,0,7.75,1,2,1,0,0,13.5,13.5
1,2,3,1,0,57.75,2,2,2,0,0,3,1
3,2,2,0,0,7.25,3,2,1,0,0,13.5,13.5
3,2,2,0,0,7.75,3,2,1,0,0,13.5,13.5
3,4,1,1,0,16.1,1,6,2,0,0,13.5,13.5
3,2,2,0,0,7.7958,1,2,1,0,0,13.5,13.5
3,4,15,2,0,23.25,3,4,3,0,0,13.5,13.5
2,2,4,0,0,13,1,2,1,0,0,13.5,13.5
3,2,2,0,0,8.05,1,2,1,0,0,13.5,13.5
3,2,2,0,0,8.05,1,2,1,0,0,13.5,13.5
1,2,5,0,0,28.5,2,13,1,0,0,3,1
3,4,15,0,4,25.4667,1,6,5,0,1,13.5,13.5
3,2,15,0,0,6.4375,2,2,1,0,0,13.5,13.5
3,2,4,0,0,7.8958,1,2,1,0,0,13.5,13.5
3,2,2,0,0,7.8542,1,2,1,0,0,13.5,13.5
3,2,2,0,0,7.225,2,2,1,0,0,13.5,13.5
2,2,1,0,0,13,1,2,1,0,0,6,13.5
3,2,1,2,0,8.05,1,2,3,0,0,13.5,13.5
3,2,4,1,6,46.9,1,2,8,0,0,13.5,13.5
3,4,1,5,2,46.9,1,4,8,0,1,13.5,13.5
